 ************************  INITIAL MISFIT ************************ 
 STATION: BILL_R_S_f Misfit:   0.179485083    
 STATION: BILL_T_S_f Misfit:   0.160421476    
 STATION: CHTO_R_S_f Misfit:   0.424762905    
 STATION: CHTO_Z_S_f Misfit:   0.247782066    
 STATION: CTAO_R_S_f Misfit:   0.257499367    
 STATION: CTAO_T_S_f Misfit:   0.216453120    
 STATION: CTAO_Z_S_f Misfit:   0.197934717    
 STATION: HNR_R_S_ff Misfit:    6.31682724E-02
 STATION: HNR_T_S_ff Misfit:   0.271642655    
 STATION: HNR_Z_S_ff Misfit:   0.160128906    
 STATION: JOHN_R_S_f Misfit:   0.221334606    
 STATION: JOHN_T_S_f Misfit:   0.278797090    
 STATION: JOHN_Z_S_f Misfit:   0.295453548    
 STATION: KAPI_Z_S_f Misfit:   0.431510270    
 STATION: KWAJ_R_S_f Misfit:    9.82680246E-02
 STATION: KWAJ_Z_S_f Misfit:    8.82604197E-02
 STATION: MA2_R_S_ff Misfit:   0.210303560    
 STATION: MA2_T_S_ff Misfit:   0.147907302    
 STATION: MA2_Z_S_ff Misfit:   0.133435249    
 STATION: MAKZ_R_S_f Misfit:    8.08758587E-02
 STATION: MAKZ_T_S_f Misfit:    5.38599752E-02
 STATION: MAKZ_Z_S_f Misfit:   0.107176498    
 STATION: MIDW_R_S_f Misfit:   0.314106524    
 STATION: MIDW_T_S_f Misfit:    2.31180266E-02
 STATION: MIDW_Z_S_f Misfit:    5.08921035E-02
 STATION: PMG_R_S_ff Misfit:   0.209129393    
 STATION: PMG_T_S_ff Misfit:   0.122013159    
 STATION: PMG_Z_S_ff Misfit:   0.343092263    
 STATION: TARA_R_S_f Misfit:   0.124588713    
 STATION: TARA_T_S_f Misfit:   0.242628291    
 STATION: TARA_Z_S_f Misfit:   0.108257286    
 STATION: TIXI_R_S_f Misfit:    5.91993406E-02
 STATION: TIXI_Z_S_f Misfit:    9.67014655E-02
 STATION: TLY_R_S_ff Misfit:    3.05733103E-02
 STATION: TLY_T_S_ff Misfit:    1.68437809E-02
 STATION: TLY_Z_S_ff Misfit:   0.162857935    
 STATION: ULN_R_S_ff Misfit:    4.74848077E-02
 STATION: ULN_T_S_ff Misfit:    1.26185194E-02
 STATION: ULN_Z_S_ff Misfit:   0.115364924    
 STATION: WAKE_R_S_f Misfit:    7.78017119E-02
 STATION: WAKE_Z_S_f Misfit:   0.152964264    
 STATION: WRAB_R_S_f Misfit:   0.132954240    
 STATION: WRAB_T_S_f Misfit:    8.59403238E-02
 STATION: WRAB_Z_S_f Misfit:   0.119783886    
 STATION: YAK_R_S_ff Misfit:   0.347558737    
 STATION: YAK_T_S_ff Misfit:    2.54088491E-02
 STATION: YAK_Z_S_ff Misfit:    4.29852530E-02
 ***
 Total misfit:   0.358863235    
 ***
 ************************ BEST MODEL ************************ 
 Spatial centroid module:    0.00000000      angle:    0.00000000    
 Temporal centroid:   -1.11155570    
 Duration:    15.9318666    
 Velocity abs:    6.17979595E-07  velocity angle:    41.7876968    
 Amax:    21.9722767      Amin:    21.9722767      phi:   -72.5339508    
 Strike:    36.0000000      dip:    25.0000000    
 ***********************
 STATION: ADK_R_P_ff Misfit:    4.71852608E-02
 STATION: ADK_Z_P_ff Misfit:    1.11880302E-02
 STATION: BILL_R_P_f Misfit:   0.117186174    
 STATION: CHTO_R_P_f Misfit:   0.108494900    
 STATION: CHTO_Z_P_f Misfit:    3.74777764E-02
 STATION: CTAO_R_P_f Misfit:   0.130842045    
 STATION: CTAO_Z_P_f Misfit:   0.125275835    
 STATION: HNR_R_P_ff Misfit:   0.146288380    
 STATION: HNR_Z_P_ff Misfit:   0.142567784    
 STATION: JOHN_R_P_f Misfit:    9.43431258E-02
 STATION: JOHN_Z_P_f Misfit:   0.224482462    
 STATION: KAPI_Z_P_f Misfit:   0.133513808    
 STATION: KWAJ_R_P_f Misfit:    3.22083123E-02
 STATION: KWAJ_Z_P_f Misfit:    8.63252021E-03
 STATION: MA2_R_P_ff Misfit:   0.170834646    
 STATION: MA2_Z_P_ff Misfit:   0.185014829    
 STATION: MAKZ_R_P_f Misfit:    4.43638563E-02
 STATION: MAKZ_Z_P_f Misfit:    3.74315195E-02
 STATION: MIDW_R_P_f Misfit:   0.219484746    
 STATION: MIDW_Z_P_f Misfit:   0.224174723    
 STATION: PMG_R_P_ff Misfit:   0.851737499    
 STATION: TARA_R_P_f Misfit:    3.72802243E-02
 STATION: TARA_Z_P_f Misfit:    2.44573429E-02
 STATION: TIXI_R_P_f Misfit:    3.71310115E-02
 STATION: TIXI_Z_P_f Misfit:    5.28429933E-02
 STATION: TLY_R_P_ff Misfit:    5.78061230E-02
 STATION: TLY_Z_P_ff Misfit:    5.44527173E-02
 STATION: ULN_R_P_ff Misfit:    6.14191405E-02
 STATION: ULN_Z_P_ff Misfit:   0.108799510    
 STATION: WAKE_R_P_f Misfit:    7.02013299E-02
 STATION: WAKE_Z_P_f Misfit:    6.78662434E-02
 STATION: WRAB_R_P_f Misfit:   0.137765944    
 STATION: WRAB_Z_P_f Misfit:   0.174659193    
 STATION: YAK_R_P_ff Misfit:    7.02012405E-02
 STATION: YAK_Z_P_ff Misfit:    5.37194610E-02
 STATION: ADK_R_S_ff Misfit:    2.50762552E-02
 STATION: ADK_T_S_ff Misfit:   0.111806221    
 STATION: ADK_Z_S_ff Misfit:    5.13387024E-02
 STATION: BILL_R_S_f Misfit:    5.66013046E-02
 STATION: BILL_T_S_f Misfit:    4.12375666E-02
 STATION: CHTO_R_S_f Misfit:   0.205423743    
 STATION: CHTO_Z_S_f Misfit:   0.159193784    
 STATION: CTAO_R_S_f Misfit:    9.22690257E-02
 STATION: CTAO_T_S_f Misfit:    3.64518724E-02
 STATION: CTAO_Z_S_f Misfit:   0.121760055    
 STATION: HNR_R_S_ff Misfit:    2.94615645E-02
 STATION: HNR_T_S_ff Misfit:   0.133471116    
 STATION: HNR_Z_S_ff Misfit:    9.58701968E-02
 STATION: JOHN_R_S_f Misfit:    9.05129313E-02
 STATION: JOHN_T_S_f Misfit:    9.08163190E-02
 STATION: JOHN_Z_S_f Misfit:    6.85469359E-02
 STATION: KAPI_Z_S_f Misfit:   0.348119736    
 STATION: KWAJ_R_S_f Misfit:    5.60625941E-02
 STATION: KWAJ_Z_S_f Misfit:    2.24500131E-02
 STATION: MA2_R_S_ff Misfit:    5.84361479E-02
 STATION: MA2_T_S_ff Misfit:    3.87355834E-02
 STATION: MA2_Z_S_ff Misfit:    5.13394624E-02
 STATION: MAKZ_R_S_f Misfit:    4.31783311E-02
 STATION: MAKZ_T_S_f Misfit:    3.70165817E-02
 STATION: MAKZ_Z_S_f Misfit:    6.14348948E-02
 STATION: MIDW_R_S_f Misfit:   0.114230819    
 STATION: MIDW_T_S_f Misfit:    4.01844867E-02
 STATION: MIDW_Z_S_f Misfit:    1.28221177E-02
 STATION: PMG_R_S_ff Misfit:   0.119773760    
 STATION: PMG_T_S_ff Misfit:    4.09064591E-02
 STATION: PMG_Z_S_ff Misfit:    4.65451106E-02
 STATION: TARA_R_S_f Misfit:    3.30663398E-02
 STATION: TARA_T_S_f Misfit:   0.137191325    
 STATION: TARA_Z_S_f Misfit:    2.71187946E-02
 STATION: TIXI_R_S_f Misfit:    2.89524235E-02
 STATION: TIXI_Z_S_f Misfit:   0.102150023    
 STATION: TLY_R_S_ff Misfit:    3.18783373E-02
 STATION: TLY_T_S_ff Misfit:    2.43602283E-02
 STATION: TLY_Z_S_ff Misfit:   0.158132076    
 STATION: ULN_R_S_ff Misfit:    7.88364261E-02
 STATION: ULN_T_S_ff Misfit:    1.91366486E-02
 STATION: ULN_Z_S_ff Misfit:   0.122881293    
 STATION: WAKE_R_S_f Misfit:    3.76667269E-02
 STATION: WAKE_Z_S_f Misfit:    4.81260866E-02
 STATION: WRAB_R_S_f Misfit:   0.109668039    
 STATION: WRAB_T_S_f Misfit:    1.68503616E-02
 STATION: WRAB_Z_S_f Misfit:    5.24445921E-02
 STATION: YAK_R_S_ff Misfit:   0.116128393    
 STATION: YAK_T_S_ff Misfit:    9.22189746E-03
 STATION: YAK_Z_S_ff Misfit:    1.89185329E-02
 ***
 total misfit:   0.122093357    
 ***
