 ************************  INITIAL MISFIT ************************ 
 STATION: ADK_R_P_ff Misfit:   0.245353699    
 STATION: ADK_Z_P_ff Misfit:   0.168985769    
 STATION: BILL_R_P_f Misfit:   0.483848900    
 STATION: CHTO_R_P_f Misfit:   0.391959727    
 STATION: CHTO_Z_P_f Misfit:   0.397272438    
 STATION: CTAO_R_P_f Misfit:   0.159457713    
 STATION: CTAO_Z_P_f Misfit:   0.159783632    
 STATION: HNR_R_P_ff Misfit:   0.472979903    
 STATION: HNR_Z_P_ff Misfit:   0.624782205    
 STATION: JOHN_R_P_f Misfit:   0.270005941    
 STATION: JOHN_Z_P_f Misfit:   0.348306865    
 STATION: KAPI_Z_P_f Misfit:   0.725617409    
 STATION: KWAJ_R_P_f Misfit:   0.262793213    
 STATION: KWAJ_Z_P_f Misfit:    6.83768392E-02
 STATION: MA2_R_P_ff Misfit:    8.61521289E-02
 STATION: MA2_Z_P_ff Misfit:   0.117934786    
 STATION: MAKZ_R_P_f Misfit:   0.158359811    
 STATION: MAKZ_Z_P_f Misfit:   0.182266876    
 STATION: MIDW_R_P_f Misfit:   0.244094253    
 STATION: MIDW_Z_P_f Misfit:   0.304222345    
 STATION: PMG_R_P_ff Misfit:    1.72479367    
 STATION: TARA_R_P_f Misfit:   0.121908240    
 STATION: TARA_Z_P_f Misfit:   0.121526197    
 STATION: TIXI_R_P_f Misfit:    3.97904143E-02
 STATION: TIXI_Z_P_f Misfit:    1.98140517E-02
 STATION: TLY_R_P_ff Misfit:   0.316146880    
 STATION: TLY_Z_P_ff Misfit:   0.226042733    
 STATION: ULN_R_P_ff Misfit:   0.156046465    
 STATION: ULN_Z_P_ff Misfit:   0.260673940    
 STATION: WAKE_R_P_f Misfit:    1.77770536E-02
 STATION: WAKE_Z_P_f Misfit:    9.77319255E-02
 STATION: WRAB_R_P_f Misfit:   0.180632189    
 STATION: WRAB_Z_P_f Misfit:   0.477751881    
 STATION: YAK_R_P_ff Misfit:   0.228307068    
 STATION: YAK_Z_P_ff Misfit:    6.64667636E-02
 STATION: ADK_R_S_ff Misfit:    9.95264426E-02
 STATION: ADK_T_S_ff Misfit:   0.132686764    
 STATION: ADK_Z_S_ff Misfit:   0.151448384    
