 ************************  INITIAL MISFIT ************************ 
 STATION: RSSD_R_S_f Misfit:    5.08812442E-02
 STATION: RSSD_T_S_f Misfit:    3.10633518E-02
 STATION: SFJD_R_S_f Misfit:   0.102128424    
 STATION: SFJD_T_S_f Misfit:    9.46773961E-02
 STATION: SLBS_R_S_f Misfit:   0.121220656    
 STATION: SLBS_Z_S_f Misfit:   0.110794097    
 STATION: SSB_T_S_ff Misfit:    4.67775855E-03
 STATION: SSPA_R_S_f Misfit:    1.62410662E-02
 STATION: SSPA_T_S_f Misfit:    6.73323637E-03
 STATION: SSPA_Z_S_f Misfit:    1.86544526E-02
 STATION: TATO_Z_S_f Misfit:   0.334406972    
 STATION: TUC_R_S_ff Misfit:    3.78350653E-02
 STATION: ULN_R_S_ff Misfit:   0.127397791    
 STATION: ULN_T_S_ff Misfit:    4.83819842E-02
 STATION: ULN_Z_S_ff Misfit:   0.126592815    
 STATION: WCI_R_S_ff Misfit:    2.79627778E-02
 STATION: WUS_T_S_ff Misfit:   0.136969298    
 STATION: WVT_R_S_ff Misfit:    2.28499640E-02
 STATION: WVT_Z_S_ff Misfit:    3.21080647E-02
 ***
 Total misfit:   0.110937953    
 ***
 ************************ BEST MODEL ************************ 
 Spatial centroid module:    0.00000000      angle:    0.00000000    
 Temporal centroid:   0.621557951    
 Duration:    7.09551287    
 Velocity abs:    6.49667072      velocity angle:   -66.4003983    
 Amax:    8.38596821      Amin:    5.87017775      phi:   -55.3025017    
 Strike:    99.0000000      dip:    42.0000000    
 ***********************
 STATION: AAK_Z_P_ff Misfit:    1.40851783E-02
 STATION: ALE_Z_P_ff Misfit:   0.238057867    
 STATION: ANMO_R_P_f Misfit:    4.22720844E-03
 STATION: ANMO_Z_P_f Misfit:    2.11411417E-02
 STATION: ANTO_R_P_f Misfit:    3.59339677E-02
 STATION: BORG_Z_P_f Misfit:    5.45071922E-02
 STATION: BRVK_Z_P_f Misfit:    3.17746550E-02
 STATION: CLF_Z_P_ff Misfit:    1.11487210E-02
 STATION: COLA_Z_P_f Misfit:    4.77157757E-02
 STATION: COR_R_P_ff Misfit:    4.43599857E-02
 STATION: CTAO_R_P_f Misfit:    5.87169304E-02
 STATION: CTAO_Z_P_f Misfit:    6.01721182E-02
 STATION: ECH_Z_P_ff Misfit:    3.20703313E-02
 STATION: ESK_Z_P_ff Misfit:    4.33327211E-03
 STATION: FFC_R_P_ff Misfit:   0.128154412    
 STATION: FFC_Z_P_ff Misfit:    1.92603953E-02
 STATION: FUTU_Z_P_f Misfit:    5.74598275E-02
 STATION: GNI_Z_P_ff Misfit:    3.27793472E-02
 STATION: HKT_R_P_ff Misfit:    7.19350874E-02
 STATION: HKT_Z_P_ff Misfit:    2.75763460E-02
 STATION: HRV_R_P_ff Misfit:    6.43369928E-02
 STATION: HRV_Z_P_ff Misfit:    7.97721297E-02
 STATION: INCN_R_P_f Misfit:    4.81295660E-02
 STATION: INCN_Z_P_f Misfit:    3.67196798E-02
 STATION: INU_R_P_ff Misfit:    7.94440284E-02
 STATION: INU_Z_P_ff Misfit:   0.140079379    
 STATION: JOHN_R_P_f Misfit:    8.38371962E-02
 STATION: JOHN_Z_P_f Misfit:   0.101296723    
 STATION: KBS_Z_P_ff Misfit:    5.13570383E-02
 STATION: KEV_R_P_ff Misfit:    1.56785809E-02
 STATION: KEV_Z_P_ff Misfit:    1.36864837E-02
 STATION: KIEV_R_P_f Misfit:   0.235519558    
 STATION: KIEV_Z_P_f Misfit:    6.68202862E-02
 STATION: KIP_R_P_ff Misfit:    7.83428773E-02
 STATION: KIP_Z_P_ff Misfit:   0.138484001    
 STATION: KIV_Z_P_ff Misfit:   0.119962037    
 STATION: KONO_R_P_f Misfit:    3.05947084E-02
 STATION: KONO_Z_P_f Misfit:    1.08239707E-02
 STATION: KURK_Z_P_f Misfit:    2.11441815E-02
 STATION: LVZ_Z_P_ff Misfit:    5.79765299E-03
 STATION: MAKZ_R_P_f Misfit:    2.69896183E-02
 STATION: MAKZ_Z_P_f Misfit:    1.79403946E-02
 STATION: MBWA_R_P_f Misfit:    8.17494541E-02
 STATION: MBWA_Z_P_f Misfit:    2.70287804E-02
 STATION: NIL_Z_P_ff Misfit:    6.81387261E-02
 STATION: PALK_Z_P_f Misfit:   0.165801615    
 STATION: PMG_Z_P_ff Misfit:    9.46617648E-02
 STATION: POHA_R_P_f Misfit:    9.77141783E-02
 STATION: POHA_Z_P_f Misfit:   0.170634985    
 STATION: SLBS_R_P_f Misfit:   0.119000748    
 STATION: SLBS_Z_P_f Misfit:   0.119436838    
 STATION: SSB_R_P_ff Misfit:    1.85246971E-02
 STATION: SSB_Z_P_ff Misfit:    4.79101995E-03
 STATION: SSPA_R_P_f Misfit:    3.91561873E-02
 STATION: SSPA_Z_P_f Misfit:    4.81291004E-02
 STATION: TATO_R_P_f Misfit:   0.262477398    
 STATION: TIXI_R_P_f Misfit:    4.23549935E-02
 STATION: TIXI_Z_P_f Misfit:    4.12197188E-02
 STATION: TUC_R_P_ff Misfit:    1.21324379E-02
 STATION: TUC_Z_P_ff Misfit:    5.07097738E-03
 STATION: ULN_R_P_ff Misfit:   0.155723289    
 STATION: ULN_Z_P_ff Misfit:    5.89514300E-02
 STATION: UOSS_Z_P_f Misfit:    3.86881940E-02
 STATION: WCI_R_P_ff Misfit:    9.07258093E-02
 STATION: WCI_Z_P_ff Misfit:    2.21701842E-02
 STATION: WUS_Z_P_ff Misfit:   0.232566908    
 STATION: XMAS_Z_P_f Misfit:    7.46829733E-02
 STATION: AFI_R_S_ff Misfit:   0.223266780    
 STATION: ANMO_R_S_f Misfit:    7.51225054E-02
 STATION: ANMO_T_S_f Misfit:    5.16483821E-02
